name,org,fos,,,,,,
a a karpunin,,"blockchain,data exchange,computer network,distributed computing,computer science",,,,,,
a b korchagin,,"digital economy,blockchain,sharing economy,business relations,supply chain,service provider,the internet,commerce,business",,,,,,
a berlee,,"blockchain,internet privacy,art",,,,,,
a besir kurtulmus,,"smart contract,blockchain,credit risk,software agent,artificial intelligence,machine learning,computer science",,,,,,
a de boer,,"blockchain,land administration,computer security,business",,,,,,
a e voronkov,,"superintelligence,blockchain,distributed operating system,multi agent system,intelligent agent,communications protocol,simulation,distributed computing,computer science",,,,,,
a goriacheva,national research nuclear university mephi,"blockchain,cryptocurrency,money laundering,computer security,business",,,,,,
a i bubel,,"blockchain,customs,commerce,computer security,business",,,,,,
a i vlasov,,"blockchain,data exchange,computer network,distributed computing,computer science",,,,,,
a ilker kocatepe,gazi university,"virtual currency,blockchain,mistake,commodity,database transaction,minification,hash function,cryptography,distributed computing,business",,,,,,
a j lockley,,"blockchain,geoengineering,greenhouse gas,environmental engineering,operations research,engineering",,,,,,
a k l mastenbroek,,"consumer to business,blockchain,distrust,internet of things,food safety,mobile phone,the internet,occupational safety and health,commerce,marketing,business",,,,,,
a kaklauskas,vilnius gediminas technical university,"supply chain management,blockchain,systems engineering",,,,,,
a kryukov,moscow state university,"blockchain,computer engineering,distributed computing,computer science",,,,,,
a lanko,saint petersburg state polytechnic university,"supply chain management,blockchain,systems engineering",,,,,,
a navya,,"electronic voting,blockchain,biometrics,computer security,computer science",,,,,,
a nekrasenko,opole university,"digital currency,blockchain,cryptocurrency,financial transaction,insolvency,modernity,information society,the internet,commerce,social psychology,engineering",,,,,,
a nunez mencias,,"blockchain,ibm,molecular biology,computational science,biology",,,,,,
a p demichev,yaroslav the wise novgorod state university,"blockchain,computer engineering,distributed computing,computer science",,,,,,
a pinar ozisik,university of massachusetts amherst,"proof of work system,pre play attack,blockchain,database transaction,computer security,computer science",,,,,,
a r lodder,vu university amsterdam,"blockchain,internet privacy,computer science",,,,,,
a s orobinskiy,,"digital economy,business relationship management,operational risk,blockchain,financial transaction,modernization theory,business process,competitive advantage,commerce,business",,,,,,
a s tuzovskiy,,"blockchain,corporatization,economic system,geography",,,,,,
a seger ii robert,,"distributed ledger,public key cryptography,identifier,payload,database transaction,encryption,key,cryptography,internet privacy,computer security,computer science",,,,,,
a selcuk uluagac,florida international university,"public key cryptography,ledger,blockchain,service provider,computer security,computer science",,,,,,
a sill,texas tech university,"blockchain,cryptocurrency,cloud computing,access control,internet privacy,computer security,computer science",,,,,,
a umamakeswari,,"blockchain,internet of things,internet privacy,business",,,,,,
